,CHP_biofuel,CHP_coal,CHP_muniwaste,CHP_natgas,CHP_straw,CHP_w-chip,CHP_w-pellet,CHP_w-waste,FF_solar,FF_industry,HOB_biofuel,HOB_elec,HOB_gasoil,HOB_muniwaste,HOB_natgas,HOB_straw,HOB_w-chip,HOB_w-pellet,HOB_w-waste,HP_ambient,HP_industry,HR_S-near,HR_S-far,HR_M-near,HR_M-far,HR_L-near,HR_L-far
T0009,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.556,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0105,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.31,2.852,3.007,3.007,3.371,3.371,3.731,3.731
T0201,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.358,2.828,2.98,2.98,3.34,3.34,3.697,3.697
T0297,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.382,2.828,2.98,2.98,3.34,3.34,3.697,3.697
T0393,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.284,2.828,2.98,2.98,3.34,3.34,3.697,3.697
T0489,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.194,2.828,2.98,2.98,3.34,3.34,3.697,3.697
T0585,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.185,2.828,2.98,2.98,3.34,3.34,3.697,3.697
T0681,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.304,2.828,2.98,2.98,3.34,3.34,3.697,3.697
T0777,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.224,2.828,2.98,2.98,3.34,3.34,3.697,3.697
T0873,0.887,1.06,1.021,0.849,0.984,1.037,0.965,1.037,0.45,1,1.03,0.99,1.03,1.056,1.03,1.03,1.14,1.011,1.14,2.179,2.828,2.98,2.98,3.34,3.34,3.697,3.697
