case,T,J,level
policy,T0058,HR_S-near,0.0
policy,T0058,HR_S-far,0.0
policy,T0058,HR_M-near,0.0
policy,T0058,HR_M-far,0.0
policy,T0058,HR_L-near,0.0
policy,T0058,HR_L-far,0.0
policy,T0178,HR_S-near,8.275550927647743
policy,T0178,HR_S-far,7.42944058363738
policy,T0178,HR_M-near,13.230276527864476
policy,T0178,HR_M-far,12.340219624237534
policy,T0178,HR_L-near,17.823692915997043
policy,T0178,HR_L-far,17.42316730936492
policy,T0298,HR_S-near,0.0
policy,T0298,HR_S-far,0.0
policy,T0298,HR_M-near,0.0
policy,T0298,HR_M-far,0.0
policy,T0298,HR_L-near,0.0
policy,T0298,HR_L-far,0.0
policy,T0418,HR_S-near,0.0
policy,T0418,HR_S-far,0.0
policy,T0418,HR_M-near,0.0
policy,T0418,HR_M-far,0.0
policy,T0418,HR_L-near,0.0
policy,T0418,HR_L-far,0.0
policy,T0538,HR_S-near,0.0
policy,T0538,HR_S-far,0.0
policy,T0538,HR_M-near,0.0
policy,T0538,HR_M-far,0.0
policy,T0538,HR_L-near,0.0
policy,T0538,HR_L-far,0.0
policy,T0658,HR_S-near,0.0
policy,T0658,HR_S-far,0.0
policy,T0658,HR_M-near,0.0
policy,T0658,HR_M-far,0.0
policy,T0658,HR_L-near,0.0
policy,T0658,HR_L-far,0.0
policy,T0778,HR_S-near,0.0
policy,T0778,HR_S-far,0.0
policy,T0778,HR_M-near,0.0
policy,T0778,HR_M-far,0.0
policy,T0778,HR_L-near,0.0
policy,T0778,HR_L-far,0.0
policy,T0898,HR_S-near,0.0
policy,T0898,HR_S-far,0.0
policy,T0898,HR_M-near,0.0
policy,T0898,HR_M-far,0.0
policy,T0898,HR_L-near,0.0
policy,T0898,HR_L-far,0.0
policy,T1018,HR_S-near,0.0
policy,T1018,HR_S-far,0.0
policy,T1018,HR_M-near,0.0
policy,T1018,HR_M-far,0.0
policy,T1018,HR_L-near,0.0
policy,T1018,HR_L-far,0.0
policy,T1138,HR_S-near,0.0
policy,T1138,HR_S-far,0.0
policy,T1138,HR_M-near,0.0
policy,T1138,HR_M-far,0.0
policy,T1138,HR_L-near,0.0
policy,T1138,HR_L-far,0.0
policy,T1258,HR_S-near,0.0
policy,T1258,HR_S-far,0.0
policy,T1258,HR_M-near,0.0
policy,T1258,HR_M-far,0.0
policy,T1258,HR_L-near,0.0
policy,T1258,HR_L-far,0.0
policy,T1378,HR_S-near,0.0
policy,T1378,HR_S-far,0.0
policy,T1378,HR_M-near,0.0
policy,T1378,HR_M-far,0.0
policy,T1378,HR_L-near,0.0
policy,T1378,HR_L-far,0.0
policy,T1498,HR_S-near,0.0
policy,T1498,HR_S-far,0.0
policy,T1498,HR_M-near,0.0
policy,T1498,HR_M-far,0.0
policy,T1498,HR_L-near,1.2500677926591308
policy,T1498,HR_L-far,0.8966638010801873
policy,T1618,HR_S-near,0.0
policy,T1618,HR_S-far,0.0
policy,T1618,HR_M-near,0.0
policy,T1618,HR_M-far,0.0
policy,T1618,HR_L-near,0.0
policy,T1618,HR_L-far,0.0
policy,T1738,HR_S-near,0.0
policy,T1738,HR_S-far,0.0
policy,T1738,HR_M-near,0.0
policy,T1738,HR_M-far,0.0
policy,T1738,HR_L-near,0.8589247661406176
policy,T1738,HR_L-far,0.5119009750426926
policy,T1858,HR_S-near,0.0
policy,T1858,HR_S-far,0.0
policy,T1858,HR_M-near,0.0
policy,T1858,HR_M-far,0.0
policy,T1858,HR_L-near,0.0
policy,T1858,HR_L-far,0.0
policy,T1978,HR_S-near,5.653455842071352
policy,T1978,HR_S-far,4.842672244060985
policy,T1978,HR_M-near,10.651032689829727
policy,T1978,HR_M-far,9.798137386202782
policy,T1978,HR_L-near,15.267791100665463
policy,T1978,HR_L-far,14.883988214033337
