case,T,level
policy,T0058,37.727087719298254
policy,T0178,55.62855647668394
policy,T0298,48.19774876360041
policy,T0418,37.727087719298254
policy,T0538,35.139359223300964
policy,T0658,37.727087719298254
policy,T0778,35.139359223300964
policy,T0898,35.139359223300964
policy,T1018,52.7931372533789
policy,T1138,37.727087719298254
policy,T1258,35.139359223300964
policy,T1378,37.727087719298254
policy,T1498,49.083887719298254
policy,T1618,35.139359223300964
policy,T1738,48.19774876360041
policy,T1858,35.139359223300964
policy,T1978,53.305956476683946
policy,T2098,14.57635647668394
policy,T2218,35.139359223300964
policy,T2338,35.139359223300964
policy,T2458,33.985256476683944
policy,T2578,35.139359223300964
policy,T2698,35.139359223300964
policy,T2818,20.863056476683944
policy,T2938,35.139359223300964
policy,T3058,33.84315647668394
policy,T3178,35.7160066337211
policy,T3298,35.139359223300964
policy,T3418,26.723060655737722
policy,T3538,30.54869752086582
policy,T3658,22.952818211382105
policy,T3778,21.872060655737723
policy,T3898,18.227118211382102
policy,T4018,13.478842105263158
policy,T4138,4.8928182113820995
policy,T4258,0.223
policy,T4378,23.968037456541893
policy,T4498,24.490060655737718
policy,T4618,34.412560655737714
policy,T4738,24.9592430662217
policy,T4858,2.7258167330896756
policy,T4978,0.223
policy,T5098,19.624618211382103
policy,T5218,2.7258167330896756
policy,T5338,0.001
policy,T5458,0.223
policy,T5578,0.001
policy,T5698,15.543918211382106
policy,T5818,10.547318211382105
policy,T5938,14.911818211382105
policy,T6058,29.242662764880958
policy,T6178,11.639518211382104
policy,T6298,33.590580193950636
policy,T6418,25.427628190502602
policy,T6538,33.43140559087457
policy,T6658,35.139359223300964
policy,T6778,21.847956476683947
policy,T6898,48.19774876360041
policy,T7018,45.196718211382105
policy,T7138,11.827456476683942
policy,T7258,36.61165647668394
policy,T7378,37.727087719298254
policy,T7498,38.80156065573772
policy,T7618,37.30255647668394
policy,T7738,37.727087719298254
policy,T7858,48.19774876360041
policy,T7978,49.68613725337893
policy,T8098,48.19774876360041
policy,T8218,37.727087719298254
policy,T8338,35.139359223300964
policy,T8458,56.75065647668394
policy,T8578,55.601601233031694
policy,T8698,98.15668771929826
