case,J,Case,value
policy,CHP_coal,baseline,8.952827885207022
policy,CHP_coal,policy,6.528733182920377
policy,CHP_muniwaste,baseline,19.930689619181983
policy,CHP_muniwaste,policy,16.66026714737887
policy,CHP_natgas,baseline,2.103531993248796
policy,CHP_natgas,policy,1.2713977845767033
policy,CHP_straw,baseline,4.409380657792222
policy,CHP_straw,policy,2.6748016150997356
policy,CHP_w-chip,baseline,13.416512629516392
policy,CHP_w-chip,policy,7.977140818111401
policy,CHP_w-pellet,baseline,11.695183768354507
policy,CHP_w-pellet,policy,6.4386144029413215
policy,CHP_w-waste,baseline,2.3337975526287473
policy,CHP_w-waste,policy,1.4636615109008346
policy,FF_solar,baseline,2.778935988813006
policy,FF_solar,policy,0.9963421151534452
policy,FF_industry,baseline,5.785681788111587
policy,FF_industry,policy,3.3031954046593324
policy,HOB_muniwaste,baseline,1.6940992422581256
policy,HOB_muniwaste,policy,0.9512056895081347
policy,HOB_natgas,baseline,0.02081479147267726
policy,HOB_straw,baseline,18.260138295814333
policy,HOB_straw,policy,5.85872173171906
policy,HOB_w-chip,baseline,5.32877895015185
policy,HOB_w-chip,policy,1.3226720192349963
policy,HOB_w-pellet,baseline,0.6833534756132351
policy,HOB_w-pellet,policy,0.05616048767316105
policy,HOB_w-waste,baseline,1.3448320553560482
policy,HOB_w-waste,policy,0.7040982598410847
policy,HP_ambient,baseline,0.6906123836749382
policy,HP_ambient,policy,0.05939576389949787
policy,HP_industry,baseline,0.5708289228045189
policy,HP_industry,policy,0.07945869059852202
policy,HR_S-near,policy,5.302968426005075
policy,HR_S-far,policy,5.388755750888407
policy,HR_M-near,policy,7.287330377032164
policy,HR_M-far,policy,7.599221777765733
policy,HR_L-near,policy,8.79097254450271
policy,HR_L-far,policy,9.2848844995893
